ID,Department Custodian,Department Name of Data System,Purpose,General description of categories or types of data,Vendor,Product,Frequency Data Collected,Frequency Data Updated,Data Classification - High,Data Classification - Low
DPH-0367-S,Public Health,Labor Relations Case Management System,Labor Relations Case Management,Labor Relations Case Management - Contains Employee PHI,DPH,Custom,As needed,As needed,Level 4 - Protected,Level 3 - Sensitive
DPH-0374-S,Public Health,Organizational Intelligence (OI),Finance / Accounting,OI lifts the veil on cost accounting with expert-level analysis,OI Health,Custom,As needed,As needed,Level 4 - Protected,Level 4 - Protected
DPH-0384-S,Public Health,Standard Populations Database,Reporting database,"Reporting database of patient demographics, encounters and special populations (e.g., HIV, maternal delivery, live born infants, alcohol disorder, homeless). Combines patients from Invision, Avatar and JIM.",DPH,Custom,As needed,As needed,Level 4 - Protected,Level 2 - Internal Use
DPH-0386-S,Public Health,ZEISS FORUM - Ophthalmology (Rad),Ophtalmology software,Ophthalmology software for eye care data and eye disease management.,Zeiss,Custom,As needed,As needed,Level 4 - Protected,Level 4 - Protected
DPH-0387-S,Public Health,ZSFGH Clinical Oncall Schedules,Employee Scheduling,Allow SFGH Clinical Wards to upload physician oncall schedules.,DPH,Custom,As needed,As needed,Level 2 - Internal Use,Level 2 - Internal Use
DPW-0001-S,GSA - Public Works,GIS Basemap Maintenance,City Basemap maintenance system,City Basemap maintenance system,Microsoft,MS SQL Server,Daily,Daily,Level 1 - Public,Level 1 - Public
DPW-0008-S,GSA - Public Works,CRIS - Curb Ramp Information System,Curb Ramp inventory and inspection tracking,Curb Ramp inventory and inspection tracking,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0009-S,GSA - Public Works,Street Space Permits / Parking Signs,"Permit system for tracking, inspection, assigning contractor parking in the right of way","Permit system for tracking, inspection, assigning contractor parking in the right of way",Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 1 - Public,Level 1 - Public
DPW-0011-S,GSA - Public Works,Tree Management System,Tree inventory and inspection tracking,Tree inventory and inspection tracking,Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0012-S,GSA - Public Works,RSIS - Roadway Structure Information System,Roadway inventory and inspection rating tracking,Roadway inventory and inspection rating tracking,Microsoft,Web Application/MS SQL Server,Monthly,Monthly,Level 1 - Public,Level 1 - Public
DPW-0013-S,GSA - Public Works,Street-Use Permit System,Street use permit system: Public Works right of permit management system,Street use permit system: Public Works right of permit management system,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 1 - Public,Level 1 - Public
DPW-0014-S,GSA - Public Works,SF Pavement Management Information System - MTC StreetSaver V8,"Paving condition, inspection and construction prioritization system.","Paving condition, inspection and construction prioritization system.",Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0016-S,GSA - Public Works,Computerized Maintenance Management System (CMMS),Computerized Maintenance Management System (CMMS) for Public Works. Asset Management and Work Order system,Computerized Maintenance Management System (CMMS) for Public Works. Asset Management and Work Order system,Infor,Infor Enterprise Asset Management,Daily,Daily,Level 1 - Public,Level 1 - Public
DPW-0018-S,GSA - Public Works,BSM_Accounting,"Public Works invoice tracking system for permits, violations, etc","Public Works invoice tracking system for permits, violations, etc",Microsoft,MS SQL Server,Daily,Daily,Level 1 - Public,Level 1 - Public
DPW-0020-S,GSA - Public Works,Inspect-o-Matic,Right of Way Inspection System,Right of Way Inspection System,Microsoft,Web Application/MS SQL Server and Android tablet app,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0021-S,GSA - Public Works,Subdivision Tracking System,Subdivision and Mapping project tracking,Subdivision and Mapping project tracking,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0023-S,GSA - Public Works,Envista,Paving and Utility Excavation 5 Year Plan,Paving and Utility Excavation 5 Year Plan,Acella,Acella Right of Way (formerly Envista),Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0024-S,GSA - Public Works,28 Clean/Service Request Database,Yard service request work management and triage app,Yard service request work management and triage app,,MS Access/MS SQL Server,,,Level 4 - Protected,Level 1 - Public
DPW-0026-S,GSA - Public Works,Adopt-A-Street - Community Programs Database,Community outreach database,Community outreach database,Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0027-S,GSA - Public Works,BCM Admin Expenditure and Field Expense Database,Track IDC overhead expenditures and field expenses,Track IDC overhead expenditures and field expenses,Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0028-S,GSA - Public Works,BCM Materials Testing Lab Database,Track material test results,Track material test results,Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0029-S,GSA - Public Works,Cal Trans Agreements,Documents of CalTrans and city agreements and related index,Documents of CalTrans and city agreements and related index,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0030-S,GSA - Public Works,Cashiering,Accepting non-credit card payments for accounting,Accepting non-credit card payments for accounting,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0031-S,GSA - Public Works,Contract  Bid Documents Website,Electronic bid document download for contracts,Electronic bid document download for contracts,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0032-S,GSA - Public Works,Project Portal,Link PW projects with PS funding sources,Link PW projects with PS funding sources,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0033-S,GSA - Public Works,Request to Fill (RTF),A work flow/tracking sytem for filling positions to hire new employees,A work flow/tracking sytem for filling positions to hire new employees,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0034-S,GSA - Public Works,DPW Hub,"311 connection, CMMS connection, TreeDB connection,  CDD (Central Division Distribution of PUC) connection; exchanging work data between different work groups","311 connection, CMMS connection, TreeDB connection,  CDD (Central Division Distribution of PUC) connection; exchanging work data between different work groups",Microsoft,Console App/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0035-S,GSA - Public Works,DPW Orders - Sharepoint,Document approval mechanism for the director,Document approval mechanism for the director,Microsoft,SharePoint/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0036-S,GSA - Public Works,DPW Public Web Site,sfpublicworks.org,sfpublicworks.org,Drupal,Drupal,Daily,Daily,Level 2 - Internal Use,Level 1 - Public
DPW-0037-S,GSA - Public Works,Elation Systems (Web Services for DPW Projects),Certified payroll data downloaded from Elations,Certified payroll data downloaded from Elations,Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0038-S,GSA - Public Works,Enterprise Project Management (EPM),Project management database application,Project management database application,Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0039-S,GSA - Public Works,FleetRoute,High density routing for street sweepers; ability routing books; master data for sweeper routes; GIS-based,High density routing for street sweepers; ability routing books; master data for sweeper routes; GIS-based,FleetRoute,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0040-S,GSA - Public Works,Graffiti Management System - Desktop,Managing notice of graffiti violations and SES graffiti abatement; billing,Managing notice of graffiti violations and SES graffiti abatement; billing,Microsoft,MS Access/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0041-S,GSA - Public Works,IDC Lessons Learned Website,Lessons Learned - document repository,Lessons Learned - document repository,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0042-S,GSA - Public Works,KeyWatcher,Manage keys; programmed box that connects to application,Manage keys; programmed box that connects to application,Microsoft,MS Access/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0043-S,GSA - Public Works,Manual Invoices,Manually create invoice to give to customers for payment (Not system generated),Manually create invoice to give to customers for payment (Not system generated),Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0044-S,GSA - Public Works,Mobile IOM (Inspect O Matic),Right of Way Inspection System,Right of Way Inspection System,various,Android Tablet App /MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0045-S,GSA - Public Works,Mon-U-Mental,Survey Monument Information System,Track survey monument inventory and attributes,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0047-S,GSA - Public Works,NEWS RACK,Tracking newsrack pedestal mounted units and publications,Tracking newsrack pedestal mounted units and publications,Microsoft,Web Application/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0049-S,GSA - Public Works,Sewer Asset Mgmt - Hydraulics,PMDB; may be replaced in-house (no timeline),PMDB; may be replaced in-house (no timeline),Microsoft,MS Access/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0050-S,GSA - Public Works,Sewer Proj mgmt,To  be replaced by web version (no timeline),To  be replaced by web version (no timeline),Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0051-S,GSA - Public Works,SF Basemap Editor for BSMSQL,Maintenance app for the GIS basemap,Maintenance app for the GIS basemap,Microsoft,Console App/MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0052-S,GSA - Public Works,SF Tree Management Application - Permit Application,Online tree permit application,Online tree permit application,Microsoft,MS Access / Web Applicatioin / MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0053-S,GSA - Public Works,SFDPW Field Worker - Tablet Application,Tablet application for 28 Clean,Tablet application for 28 Clean,various,Android Tablet App /MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0055-S,GSA - Public Works,Street Legislation Tracking System,Street vacation legislation tracker/list,Street vacation legislation tracker/list,Microsoft,Web Application/MS SQL Server,Quarterly,Quarterly,Level 4 - Protected,Level 1 - Public
DPW-0056-S,GSA - Public Works,Sub-Sidewalk Basement,inventory of sub sidewalk basements,inventory of sub sidewalk basements,Microsoft,Web Application/MS SQL Server,Monthly,Monthly,Level 4 - Protected,Level 1 - Public
DPW-0057-S,GSA - Public Works,Utility Undergrounding,Inventory of utility undergrounded Rule 42A locations,Inventory of utility undergrounded Rule 42A locations,Microsoft,MS SQL Server,Not updated (historical only),Not updated (historical only),Level 4 - Protected,Level 1 - Public
DPW-0058-S,GSA - Public Works,BSMCoreData,,,,,,,Level 1 - Public,Level 1 - Public
DPW-0059-S,GSA - Public Works,eChangeOrder,Change Order Tracking System for PW Contracts,Change Order Tracking System for PW Contracts,Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
DPW-0060-S,GSA - Public Works,Monument Preservation Tracking System (MPTS),Project tracking for preservation of monuments during (usually capital) construction in the ROW,Project tracking for preservation of monuments during (usually capital) construction in the ROW,Microsoft,MS SQL Server,Daily,Daily,Level 4 - Protected,Level 1 - Public
ECE-0001-S,Office of Early Care and Education,Care Control 3,Tracking child care vouchers,Child care subsidy enrollment and payment data for children receiving child care vouchers,MCT Technology,Care Control 3,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
ECE-0002-S,Office of Early Care and Education,Cocoa,Tracking subsidy enrollments,Child care subsidy enrollment data for children receiving city-funded care (excluding those receiving only child care vouchers),WestEd,Cocoa,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
ECN-0001-S,Economic & Workforce Development,WorkforceCentral (WFC),Data collection system that tracks information about participants activities and outcomes.,"WFC is a relational database, which contains inform",AJWI,COTS,Continuous,Continuous,Level 4 - Protected,Level 3 - Sensitive
ECN-0002-S,Economic & Workforce Development,GMS,Tracks information about participants and their activities within Community Development Block Grant (CDBG) funded Workforce and Economic Development programs.,Tracks information about participants and their activities within Community Development Block Grant (CDBG) funded Workforce and Economic Development programs.,CitySpan,Grant Management System (GMS),Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
ECN-0003-S,Economic & Workforce Development,CityBuild Data System (under migration),Tracking client projects and contact data.,Contains information used by the CityBuild compliance and Employment Networking Services teams to ensure compliance with San Francisco construction workforce policies.,TBD,CityBuild Data System,Continuous,Continuous,Level 4 - Protected,Level 3 - Sensitive
ECN-0006-S,Economic & Workforce Development,CPMC Tracking,Tracks information about participants referred to and hired by CPMC,Staff and provider partners track compliance information for CPMC in a spreadsheet.,Microsoft,MS Excel,Continuous,Monthly,Level 3 - Sensitive,Level 3 - Sensitive
ECN-0007-S,Economic & Workforce Development,Business Services Job Listings,To assist employers and inform service providers about current job opportunities that are available.,The business services team collect and share information about job opportunities and first source job listings.,Microsoft,MS Excel,Continuous,Weekly,Level 1 - Public,Level 1 - Public
ECN-0008-S,Economic & Workforce Development,Business Services WARN notices,To assist employers and former employees with workforce related services,The business services team tracks WARN notices (notices about layoffs) and services provided to affected employees.,Microsoft,MS Excel,Continuous,Weekly,Level 1 - Public,Level 1 - Public
ECN-0009-S,Economic & Workforce Development,Total Grant Solutions (TGS),Total Grant Solutions provides our procurement and financial grant management software.,Total Grant Solutions provides our grant management software.,Tekmeca,Total Grant Solutions,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
ECN-0010-S,Economic & Workforce Development,Employment Training Panel,Track student training work hours and wages.,Outside Vendor Uses ETP OnlIne Class/Lab Tracking System to upload/enter attendance and placement���� data,Microsoft,MS Excel,Quarterly,Quarterly,Level 4 - Protected,Level 4 - Protected
ECN-0011-S,Economic & Workforce Development,Jobs Portal,Matching job seekers to employers through providers; First Source tracking,"Providers, job seekers, employers, and Business Services are all involved in job matching.",Launchpad (Salesforce platform),Jobs Portal,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
ENV-0004-S,Environment,Pesticide Use Reporting Database (PURS),Comply with Environment Code Chapter 3.,Pesticide Use Reporting Database (PURS) is a record of all pesticide products used on San Francisco properties (City-owned properties).,Microsoft,MS SQL Server,Monthly,Yearly,Level 1 - Public,Level 1 - Public
ENV-0005-S,Environment,SF Energy Watch CRM,"SF Energy Watch, an energy efficiency incentive program, stores records of past and potential participants in a single customized database.",Records of past and potential SF Energy Watch participants in a customized database.,SugarCRM,Sugar Professional CRM,Daily,Daily,Level 4 - Protected,Level 1 - Public
ENV-0008-S,Environment,Salesforce and US DOE Standard Energy Efficiency Data Platform,"Owners of commercial buildings 10,000 sq ft and larger are required to annually report energy benchmarking data, and obtain an energy audit once every 5 years.","Dataset consists of status of compliance with Environment Code Ch 20, and data disclosed to SF Environment in the course of compliance.",Salesforce,Salesforce CRM,Annually,As needed,Level 3 - Sensitive,Level 1 - Public
ENV-0009-S,Environment,Department of Environment GHG Inventory Database,The Department of Environment Greenhouse Gas (GHG) Inventory Database stores both San Francisco's Community-wide and Municipal GHG inventories,Consumption of fuels and greenhouse gases emitted annually for trending over time.,Microsoft,Excel PowerQuery,Annually,As needed,Level 1 - Public,Level 1 - Public
ENV-0010-S,Environment,Recognized Healthy Nail Salons in San Francisco,Maintain a list of recognized Healthy Nail Salons in San Francisco.,"Name of business, contact information.",Microsoft,Excel,As needed,As needed,Level 1 - Public,Level 1 - Public
ETH-0001-S,Ethics Commission,Netfile,Electronic filing/document management/public access system for ethics disclosures,"Netfile is a cloud hosted SAAS system to store forms and transactions for campaign finance, lobbyist, conflict of interest, and campaign consultant regulation.",Netfile,MS Excel Download; API Access,Daily,Daily,Level 3 - Sensitive,Level 1 - Public
MTA-0002-S,Municipal Transportation Agency,Spear system,,"System used for asset managment including managing parts, vehicles, work orders, repairs, etc.",Oracle,Oracle DB,Continuous,Quarterly,Level 3 - Sensitive,Level 1 - Public
ETH-0002-S,Ethics Commission,Shared Drive,Document storage system for Ethics Commission work-product,"Additional datasets are available in Excel/CSV spreadsheets, some of which are synced up to DataSF via Datasync. This includes campaign consultant data, contractors doing business with the city data, enforcement summaries, non-filer lists, public financing disbursements, IEC monitoring, VEC monitoring, and a list of campaign committees",Microsoft,MS Excel; CSV,As Needed,As Needed,Level 1 - Public,Level 1 - Public
ETH-0003-S,Ethics Commission,Ethics Commission Sharepoint,Document storage system for Ethics Commission work-product,The Ethics Commission is slowly moving towards SharePoint as a replacement for the Shared Drive as a repository of documents.,Microsoft,Sharepoint,As Needed,As Needed,Level 1 - Public,Level 1 - Public
ETH-0004-S,Ethics Commission,Ethics Commission Azure,Public facing storage of forms created through DocuSign,Documents created using Docusign are copied to Azure automatically and made publicly available as PDFs.,Microsoft,Azure file storage,As needed,As needed,Level 1 - Public,Level 1 - Public
FLM-0001-S,Film Commission,Film Permit System,Tracking all film permits processed by the San Francisco Film Commission Office.,Film Permits data,Microsoft,MS Access,Continuous,Monthly,Level 3 - Sensitive,Level 3 - Sensitive
FLM-0002-S,Film Commission,Film Locations,A collection of filming locations of famous film and television shows shot in San Francisco.,Dataset updated about every 6 months for the purpose of highlighting interesting films to the public.,Microsoft,MS Excel,Continuous,Bi-annually,Level 1 - Public,Level 1 - Public
HRC-0001-S,Human Rights Commission,Firmstep,"Allows users to submit complaint information to the Human Rights Commission via website, and allows Commission staff to retrieve complaint information for processing.",Provides details on complaints of discrimination filed with HRC.,Firmstep,Firmstep,As Needed,As Needed,Level 3 - Sensitive,Level 3 - Sensitive
HSA-0001-S,Human Services Agency,AACTS,Client casemanagement and tracking system,Case management system for Adult Protective Services.,MMTG,AACTS,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0023-S,Human Services Agency,CARBON,Performance management & tracking system,Tracks contract performance and payments,City Span Technologies,Carbon,Monthly,Monthly,Level 4 - Protected,Level 2 - Internal Use
HSA-0034-S,Human Services Agency,COSTS,Client casemanagement and tracking system,"Client One Stop Tracking System. Triage, DECU, SSI Case Management",SF- Human Services Agency,COSTS,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0043-S,Human Services Agency,EREVIEW,Performance management & tracking system,quality assurance application for client case errors,SF- Human Services Agency,EREVIEW,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0045-S,Human Services Agency,ETO-ILSP,Client casemanagement and tracking system,Independent Living Skills Application,Social Solutions,Efforts to Outcomes - Independent Living Skills Program,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0073-S,Human Services Agency,Monet WFM,,"web-based application used by Call Centers to manage call agent staff shifts. Current programs using this application are CalFresh, CalWorks and Medi-cal.",Monet,Workforce Management,As needed,As needed,Level 4 - Protected,Level 2 - Internal Use
HSA-0084-S,Human Services Agency,PANORAMIC,Client casemanagement and tracking system,Application used by DAAS staff,Panoramic,Panoramic,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0110-S,Human Services Agency,SHERLOCK,Investigatory purposes,investigation manangement,SF - Human Services Agency,Sherlock,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0117-S,Human Services Agency,VACS,Investigatory purposes,VACS (Ventura Automated Collections System) is used by Investigations.,County of Ventura,VACS,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0118-S,Human Services Agency,VetPro,Client casemanagement and tracking system,Enrolls and secures veteran benefits for clients.,Panoramic,VetPro,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0121-S,Human Services Agency,CA Get Care,Client casemanagement and tracking system,Client data and program enrollment,RTZ,CA Get Care,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0122-S,Human Services Agency,SF Get Care,Client casemanagement and tracking system,Log I & R; process program intakes; manage Care Transitions,RTZ,Sf Get Care,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0123-S,Human Services Agency,CLF Get Care,Client casemanagement and tracking system,Client data and program enrollment,RTZ,CLF Get Care,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSA-0124-S,Human Services Agency,DAAS CQA,Client casemanagement and tracking system,Client data and program enrollment,Devero,DAAS CQA,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
HSS-0001-S,Health Service System,Peoplesoft,"Benefits Administration data. Enrollment, demographics, payments. Medical/dental, eligibility, delinquencies, etc.","Benefits Administration data. Enrollment, demographics, payments. Medical/dental, eligibility, delinquencies, etc.",Oracle,Peoplesoft,Weekly,Continuous,Level 4 - Protected,Level 4 - Protected
JUV-0000-S,Juvenile Probation,Augustus (AutoMon CX),"Case Management System used for tracking juvenile criminal records, case and court management",,AutoMon Inc.,CaseLoad Explorer,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
LIB-0001-S,Public Library,Integrated Library System,"An enterprise resource planning system for a library used to track items owned, orders made, bills paid, and patrons utilizing library materials.",Data is used by the proprietary system developed by Innovative Interfaces Inc. the library's ILS vendor.,Innovative Interfaces Inc.,Sierra,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
MTA-0003-S,Municipal Transportation Agency,Trapeze system,,"System used for routing, scheduling, blocking, runcutting and rostering. Serves as primary source for routes and stops (which must be extracted programatically).",Oracle,Oracle DB,Continuous,Quarterly,Level 3 - Sensitive,Level 1 - Public
MTA-0004-S,Municipal Transportation Agency,NextBus,,range of location related data,NextBus,NextBus,Continuous,Daily,Level 2 - Internal Use,Level 1 - Public
MTA-0005-S,Municipal Transportation Agency,Clipper/Translink,,financial data generated from passenger transactions at ticket vending machines and card readers stations and on vehicles,Clipper,Clipper,Continuous,Quarterly,Level 4 - Protected,Level 1 - Public
MTA-0006-S,Municipal Transportation Agency,BikeShare,,Bike usage for bike share program,Alta/BikeShare,Alta/BikeShare,Continuous,Quarterly,,
MTA-0009-S,Municipal Transportation Agency,Fleetwatch system,,System used for fueling and mileage tracking,Fleetwatch,MS SQL Server,Continuous,Quarterly,Level 1 - Public,Level 1 - Public
MTA-0012-S,Municipal Transportation Agency,ESRI spatial data on network shares,,"A collection of geographic data (for example, shapefiles) managed on the shared network",Esri,Spatial,Continuous,Quarterly,Level 1 - Public,Level 1 - Public
MTA-0013-S,Municipal Transportation Agency,Autodesk spatial data on network shares,,A collection of CAD files managed on the shared network,Autodesk,CAD,Continuous,Not updated (historical only),Level 5 - Restricted,Level 1 - Public
MTA-0018-S,Municipal Transportation Agency,Track-It,,used to manage work orders for the SFMTA's IT group,Track-it,MS SQL Server,Continuous,Continuous,Level 2 - Internal Use,Level 2 - Internal Use
MTA-0021-S,Municipal Transportation Agency,SharePoint - SPATS,,Action tracking within the SFMTA,Microsoft,Sharepoint,Continuous,Continuous,Level 2 - Internal Use,Level 2 - Internal Use
MTA-0023-S,Municipal Transportation Agency,EcoSys,,project managment software,EcoSys,EcoSys,Daily,Daily,Level 2 - Internal Use,Level 2 - Internal Use
MTA-0024-S,Municipal Transportation Agency,Primavera,,project managment software,Oracle,Primavera,Daily,Daily,Level 3 - Sensitive,Level 3 - Sensitive
MTA-0025-S,Municipal Transportation Agency,Survey data,,results captured from various ongoing and past surveys,Microsoft,MS Excel,As Needed,As Needed,Level 3 - Sensitive,Level 3 - Sensitive
MTA-0026-S,Municipal Transportation Agency,SalesForce + Gov Delivery,,"customer relation management (CRM) software to support programs, projects and communication",Salesforce,Salesforce CRM,Continuous,Continuous,Level 2 - Internal Use,Level 2 - Internal Use
MTA-0029-S,Municipal Transportation Agency,bMobile,,point of sale system,bMobile,COTS,Continuous,Continuous,,
MTA-0030-S,Municipal Transportation Agency,Cubic System,,Transportation management system for operations,Oracle,Oracle DB,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
MTA-0031-S,Municipal Transportation Agency,Trapeze system - Payroll and HR related data,,"System used for routing, scheduling, blocking, runcutting and rostering. Serves as primary source for routes and stops (which must be extracted programatically).",Oracle,Oracle DB,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
MTA-0032-S,Municipal Transportation Agency,ArcGIS Server,,"Data managed via ArcGIS server and an Oracle geodatabase, this system contains some, but not all of MTA's spatial data",Oracle,Oracle Spatial,As Needed,As Needed,Level 3 - Sensitive,Level 1 - Public
MYR-0001-S,Mayor,Grants Management System (GMS),Comprehensive grants management system for MOHCD community development grants,"Grant funded client activities and outcomes, including demographic information. Grant invoices, contract setups, revisions, and amendments.",CitySpan,MS SQL Server,Continuous,Continuous,Level 4 - Protected,Level 1 - Public
MYR-0002-S,Mayor,Capital Projects Tracking,Grants and project management system for MOHCD community development capital grants,"Project information, including tracking of project status, regulatory and other requirements, and program beneficiaries; and MOHCD funding information, inlcuding tracking of different Capital funding pools.",FileMaker and Microsoft,FileMaker and MS Excel,Continuous,Continuous,Level 1 - Public,Level 1 - Public
MYR-0004-S,Mayor,Affordable Housing Asset Management Database,"Database used by MOHCD Asset Management & Fiscal Team to record and track MOHCD-contracted rental projects, funding and compliance.","Tracks MOHCD-Contracted Rental Housing portfolio data: projects, loans/grants/ground leases, bond issuances; annual project compliance review process & data.",Microsoft,MS Access,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
MYR-0005-S,Mayor,Affordable Housing Production Pipeline,"Tracks MOHCD and OCII affordable housing production pipeline; includes # of units, start and completion dates, and target population","General Information about MOHCD affordable housing pipeline projects including, location, planning and building permit numbers, number of units, size of units, target population, and production timeline.",Microsoft,MS Excel,Continuous,Continuous,Level 1 - Public,Level 1 - Public
MYR-0006-S,Mayor,Local Operating Subsidy Program Investment Database,"Tracks subsidy payments for homeless housing funded by the City (MOHCD, OCII, HSH). Annual LOSP amounts to support the operation of permanent supportive housing units,. Exiting portfolio and pipeline","Total units, total supportive housing units total LOSP units. Amounts of annual subsidy  and amount of services funded by HSH.",Microsoft,MS Excel,Continuous,Continuous,Level 1 - Public,Level 1 - Public
MYR-0007-S,Mayor,Lead Grants Database,"Used to track data on grants and loans provided by MOHCD to property owners for lead hazard control; also tracks existing, completed and pipeline projectsDatabase tracking lead remediation grants provided to qualifying households.","Property information, Grantee information, grant summary, invoices paid, disbursements made, project notes, important dates, grant amounts, other funding source information.",Microsoft,MS Access,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
MYR-0008-S,Mayor,Cal Home Rehab Database,"Used to track data on loans provided by MOHCD to property owners for single family property rehabilitation; also tracks existing, completed and pipeline projects.","Property information, borrower information, loan information, underwriting, income & property eligibility, loan summary, project summary, invoices paid, disbursements made, other funding source information, recorded document information.",Microsoft,MS Access,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
MYR-0009-S,Mayor,Downpayment Assistance Loan Program Tracking,Used to track DALP applicant and borrower data.,"Applicant and borrower data (name, contacts, displacement address, address history, head of household, statistical information, DOB, gross income, household size and income, and primary language) for the following downpayment assistance loan programs: Downpayment Assistance Loan Program; Teacher Next Door; Educator DALP; Police in the Community; First Responders DALP; BMR DALP; City Second Loan Program.",Microsoft,MS Excel,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
MYR-0010-S,Mayor,Master BMR Unit List,"Used to track units restricted under Planning Code Section 415/Inclusionary Housing Program, the Condo Conversion BMR Program, and all OCII ownership and OCII inclusionary rental programs monitored by the HBMR team","All units restricted under Planning Code Section 415/Inclusionary Housing Program, the Condo Conversion BMR Program, and all OCII ownership and OCII inclusionary rental programs monitored by the HBMR team",Microsoft,MS Excel,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
MYR-0011-S,Mayor,Certificate of Preference Program Database,Used to track households displaced by Redevelopment activities and data on certificate holders.,"COP applicant information (name, contacts, displacement address, address history, head of household, statistical information, DOB, gross income, household size and income, and primary language); Certificate Information (issue and expiration date); Information about affordable housing obtained with COP Certificate. Demogrpahics including SOGI.",Saleforce,Salesforce CRM,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
